Movie,Year,RunTime,imdb,Genre,votes
Taxi Driver,1976,114 minutes,8.3,"Crime, Drama",791500
Boogie Nights,1997,155 minutes,7.9,Drama,258467
The Departed,2006,151 minutes,8.5,"Crime, Drama, Thriller",1280020
Sicario,2015,121 minutes,7.7,"Action, Crime, Drama",414240
Hacksaw Ridge,2016,139 minutes,8.1,"Biography, Drama, History",497846
Léon,1994,110 minutes,8.6,"Action, Crime, Drama",1121038
The Father,2020,97 minutes,8.3,"Drama, Mystery",131610
Tombstone,1993,130 minutes,7.8,"Action, Biography, Drama",143079
La La Land,2016,128 minutes,8.0,"Comedy, Drama, Music",561932
Back to the Future,1985,116 minutes,8.6,"Adventure, Comedy, Sci-Fi",1154378
Hamilton,2020,160 minutes,8.4,"Biography, Drama, History",85525
The Lord of the Rings: The Return of the King,2003,201 minutes,9.0,"Action, Adventure, Drama",1769052
The Irishman,2019,209 minutes,7.8,"Biography, Crime, Drama",369351
The Godfather: Part III,1990,162 minutes,7.6,"Crime, Drama",385776
Ghostbusters,1984,105 minutes,7.8,"Action, Comedy, Fantasy",402978
Her,2013,126 minutes,8.0,"Drama, Romance, Sci-Fi",588919
Shutter Island,2010,138 minutes,8.2,"Mystery, Thriller",1250341
Moana,2016,107 minutes,7.6,"Animation, Adventure, Comedy",317956
Alien,1979,117 minutes,8.5,"Horror, Sci-Fi",849523
Man on Fire,2004,146 minutes,7.7,"Action, Crime, Drama",355147
The Imitation Game,2014,114 minutes,8.0,"Biography, Drama, Thriller",744519
Thor: Ragnarok,2017,130 minutes,7.9,"Action, Adventure, Comedy",690434
The Blind Side,2009,129 minutes,7.6,"Biography, Drama, Sport",321661
The Sixth Sense,1999,107 minutes,8.2,"Drama, Mystery, Thriller",965243
The Pursuit of Happyness,2006,117 minutes,8.0,"Biography, Drama",493174
300,2006,117 minutes,7.6,"Action, Drama",799666
12 Angry Men,1957,96 minutes,9.0,"Crime, Drama",759513
Baby Driver,2017,113 minutes,7.6,"Action, Crime, Drama",507896
The Shining,1980,146 minutes,8.4,"Drama, Horror",979760
The Big Short,2015,130 minutes,7.8,"Biography, Comedy, Drama",413240
